Comment
"We just hit 5 million subscribers!! Thank you so much for supporting us. It truly means the world. Our goal with Huge Conversations is to explore what the most influential people building the future are imagining it will look like, so you can decide for yourself what you think of it."
Опа кожак
I just looked up a bio of Jensen Huang and we share a birthday. I am 11 years his senior. Electronics was my hobby and for the past 25 years I have been helping people with computers and computing as my occupation.
"Well, that was dope."
Jenson is the true visionary leader surpassing his predecessors.
take a shot every time he says AI
Your energy is contagious!
"As a doom thinker, I think that in the best scenario, the very richest (owners of those machines) will be the last people on earth.<br>Machines can produce themselves in mining, agriculture, livestock (still keep those people as live cattle to enforce the last specific jobs?).<br>After that, all these machines will continue 24/7 autonomously in their mining and production of more machines.<br>(Sun)light is no longer necessary because machines do not need to see each other through light waves and living material is not necessary or useful. The machines are now smart enough to (re)create any material synthetically. (They are AI smart enough for that). Are the raw materials almost gone.....<br>Then possibly into space in search of more material to multiply themselves. They do not need oxygen anyway. Energy from space in any form is infinitely available to continue.<br>You could then say that we are the dinosaurs of our time.... oh, wait..... there is no more &#39; we&#39; :)"
"Hey I know him! That guy&#39;s the reason I have to spend $1,000 on a GPU just to play new games!"
He said we Discovered AI not invented
She talks instead of listening
Damn I did not know that Keira Knightley was into technology.
"Jensen, You are worth respect!!"
Tell him to lower  the price of his d*mn gpu
Cleo is my new favourite person to explain things to me.
"<a href=""https://www.youtube.com/watch?v=7ARBJQn6QkM&amp;t=660"">11:00</a>"
We need more people like Cleo in this world and making content. Always leave after watching a Cleo video happier and more enthusiastic about life and the world.
🔥🔥🔥🔥
"&quot;Pushing&quot; around a lawnmower is something someone who never mowed a lawn would say. You have to angle it, lift it, slam it against the walls of your house, over stumps, around rocks. Robots are not gonna be better at that than people ever. You would need to change what a lawnmower is to be more precise and efficient than aimed destruction, like a swarm of knife bees."
en español plis
"Such an amazing video, alot of useful information."
Is anyone else against AI here or are you all down without questioning it whatsoever ? Because we barely know wgat tge full capacity of our human brains are capable of. You would think before we make something in our image that we&#39;d understand ourselves a bit better. Don&#39;t you think ? Or do you not bother thinking at all !!!
"Everything that moves will be AI. 🤔 Now wgo would want this aside from people who are ritch assholes. Lets see, nobody !!! Your literally going to kill the human race with something that will replace us. Yet you don&#39;t even understand what our minds are fully capable of,yet your willing to see how far a metallic, structured,high functioning,self functioning machine which can speak and think for itself. You&#39;re all idiots !!! Read the book 1984 by George Orwell And watch all<br>The Terminator movies. Welcome to what could exclusively be your future."
i disliked the video. it&#39;s a shame that interviewer decided to ask such silly abstract questions
"AI is a misnomer.  You can&#39;t be intelligent and Artificial.  Any AI depends on a programmer, and that means that it&#39;s NOT artificial, it&#39;s intentional and human based."
"Cool, I&#39;m 62 this year, I first experienced PC&#39;s in the early 1980&#39;s, where games were wire frames or monochrome colours and very 2D. Compared to what we have now it is amazing. I am into PC gaming and PC VR, to do what we do today in just 45 years is beyond what I imagined in the 80&#39;s. I balance my video gaming with real life activities, getting outside, riding motorcycles and sidecars. I think it is important to mix both."
Doesn&#39;t she evoke that Jemma Simmons from The Agents of Shield vibe?
"He is living 50 years ahead of our time. Incredible person , visioner and a good person! Respect. NVIDA to the moon!"
"looking forward to the day when artificial organs can be manifested and can be a substitute for real organs, which could further be integrated with humanoid."
really because of you cleo my brain is coming with endless possibilities for day by day after watching your video im really gratfull to you thank you for makin this video . ok how do you just call a ceo of a big tech company for the interview as a youtuber . and lastly your videos are my favorite because all topics of your videos are kind of my interests so personally very very thank you
"Oh, look. Totally not psy*th is talking and I want to hear him out. I want to not that you want to force him down my throat and stuff. Oh, look. YouTube recommendations are totally random and stuff. <br><br>If he had talked you wouldn&#39; recommend him. He&#39;s moving up to my A list for the deal if you wanted to take the deal. I keep moving people from my C to B list and B to A list. Because you keep recommending them meaning not only they didn&#39;t talk. They clearly lied."
I just realized human dna might just be a learning model that evolved over thousands of years of training in a simulation...
Love it!!
Does anyone think that she looks like keira knightley? how can a person be so beautiful and intelligent??? T.T
Really impressive preparation and. Asking questions we want to know the answers to....bloody excellent interview
thanks for destroying our future!!!!
"Jensen Huang is truly a visionary leader! His insights into AI, GPUs, and accelerated computing are shaping the future of technology."
"But then it Becomes Super Villians The Humans just like with internet and No Super Hero Shows Up! In reality Bat Wayne Account Becomes  Lex Luther not Bat But Cobra. Who had the Two Faces? I beat that Arkham Game. This Could Be Fun for a Short Time but humans tire need rest. Fully simulated Data can be reRun again. A Robo Bat Trap Runs All Night without a Glitch. We wake up in 1984 Arkham Enlisted&gt;Damn Terminator Was too Intelligent and it was all Artificial Simulated in seconds. Marvel Did the Mutant MasterMold AI Sentinel Program. Boo Watch They Used My Doom Saved Game Meta Data Program on the Super Robot. Imagine A Future Hack that jacked everything up but it was awesome. Should Make a Video Game of it.  Warping the Future in a GPU visual 4k view. I can&#39;t wait for the New ARM NS2 Portable Game Plays. Super Mario Knocking out Terminators, ED-209 and Bowers reptiles."
"Amazing video! Cleo, you absolutely killed that interview have&#39;t been this immerse in a very long time"
What does psychology say about someone who doesn&#39;t blink?
"👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏<br>Thanks, this was inspiring and very informative interview."
C
